document	label
이 영화의 3박자는 디테일이었다. (정말 시가전의 퀄리티는 완벽했고) 남자의 사랑에 대한 묘사... (작중에 한석규는 누군가를 사랑하는 마음은 정말 디테일이 대단했다.) 마지막 얘기의 완급조절이 완벽했다. 이 영화가 정말 멋졌다.	1.0
배우들 연기력이 아깝다. 별 한 개도 아깝다.	0.0
어린나이에 봤음에도 꽤나 좋아했던 로맨틱코미디	1.0
기대안하고 보면 충분히 재밌는데	1.0
기똥차게 어이없는 마법의 계발서	0.0
겨울에 보기에 딱조은 영화~	1.0
재미도 없고 감동도 없고.. 평점 8.5 이해가 안감. 알바생들인가?	0.0
걍 둘다 변태	0.0
만개한 꽃보다는 피어나려는 꽃봉오리를, 분별있는 성인보다는 청소년이 멋있을 수 있다	0.0
간만에 웃는다! 아하하하!!!	0.0
뭔가 조금씩 부족한 영화 놀래킬려면 확! 놀래키던지 어정쩡한 -_-;;	0.0
동물좋아하는 사람으로써는 감동임.	1.0
2000년대가 된 지금 시점에서 더욱 소중하게 다가오는 영화...	1.0
로코좋아하는분께추천!	1.0
엄청난 연기들이 이 영화를 여전히 따뜻하게 해준다	1.0
개봉은 무슨 ... 이랄거면 개봉날짜는 왜정한건지..	0.0
현대판 정무문을 찍고 싶었나 보지만 90년대 스토리와 반복되는 패턴의 액션은 지루함을 느끼게 한다.	0.0
매튜 맥커너히가 쓸데없이 살을 빼듯한 영화네요	0.0
저 포스터가 인상깊었다예	1.0
잔잔한게 생각보다 볼만한 영화인거 같습니다 ㅋ	1.0
철학 사색? 어이가 없네... 그냥 재미도 감동도 없는...	0.0
OO놈들 괜찮구만 괜히 OO이네 잔인한장면 나와도 미국에선 15살이봐도 아무렇지도 않으니 괜찮다고생각하잔아 OO들이 액션만 생각하고 그속에 장면들 감동을 처못느끼네 장동건의 어색한연기 좀있지만 그래도 잘끝냇구만 OO것들이 영화욕하고 OO들이야	1.0
재미가아주아주재미있어요	1.0
짜증나는 여자 비명소리만 기억에 남는다... 끌까말까 망설였던 영화.	0.0
시간때우려다가 전기세가 아까웠다 물어내라!	0.0
게임 모름. 영화만 보면되지 괜찮게 봤는데 나는	1.0
재밌다.내가 3살이라면...	0.0
앞뒤내용 다 자르고 급전개에 허접한 그래픽	0.0
황홀한 영화~	1.0
내용도 좋았고 ost도 좋았음	1.0
손호영 발연기.. 분노를 일으키는 수준이었다.	0.0
정말재미있고 교훈적인 영화이네요!	1.0
별시리 감동은 없는데..전도연 아직 예쁘단 생각뿐ㅋㅋ	0.0
고집쟁이의 말로.. 왜 꼭 고백의 주체는 남자여야하나?	1.0
모성애를 주제로 하는 자극적이고 흔한 신파극이 아닌 잔잔한 감동과 긴 여운을 주는 엄마와 딸에 대한 이야기	1.0
말이 필요없다.. 사운드트랙도 너무 좋고 연출 최강이다 캐스팅도 신의 한수.. 에미 로섬과 제라드 버틀러 딱 적임자라고 생각함	1.0
졸라잼없다...보지마라	0.0
허화백의 작품을 후루룩 말아 드시다.	0.0
시작은 있는데 끝이 없다. 기술만 있으면 다인 줄 아나?	0.0
오늘 EBS에서 봤는데 재밌네요.	1.0
이햐..전격Z작전도 있었구나.ㅋㅋㅋ 너무 반갑네~	1.0
시사회로 보고 왔는데 기대했던것보다 괜찮어요. 결혼하신 분들이나 사이가 좋지 않은(?) 커플, 예비부부들 꼭 영화관에 가서 보세요. 참고로 소피마르소는 나이가 들어도 아름다운 여신!	1.0
♥♥♥	1.0
